transaction_id,true_label,matched_settlement_id,confidence,amount_diff,date_diff_days,status,llm_decision,llm_confidence,llm_reason,final_status,system_final_decision
TXN1022,MATCH,SETL2022,0.96,0.0,2.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1033,MATCH,SETL2033,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1035,MATCH,SETL2035,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1075,MATCH,SETL2075,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1002,MATCH,SETL2002,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1092,MATCH,SETL2092,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1026,MATCH,SETL2026,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1067,MATCH,SETL2067,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1011,MATCH,SETL2011,0.96,0.0,2.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1091,MATCH,SETL2091,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1040,MATCH,SETL2040,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1037,MATCH,SETL2037,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1001,MATCH,SETL2001,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1090,MATCH,SETL2090,0.94,0.0,3.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1046,MATCH,SETL2046,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1015,MATCH,SETL2015,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1097,MATCH,SETL2097,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1088,MATCH,SETL2088,0.98,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1003,NO_MATCH,SETL2003,0.905,19.03,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1057,NO_MATCH,SETL2057,0.902,19.61,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1025,NO_MATCH,SETL2025,0.912,15.74,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1072,NO_MATCH,SETL2072,0.909,16.09,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1053,MATCH,,0.0,,,no_confident_match,,,,no_confident_match,NO_MATCH
TXN1021,NO_MATCH,SETL2038,0.4569999873638153,828.51,12.0,needs_review,NO_MATCH,0.3,Amounts and dates differ significantly,llm_rejected,NO_MATCH
TXN1034,NO_MATCH,SETL2034,0.882,21.32,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1064,NO_MATCH,,0.0,,,no_confident_match,,,,no_confident_match,NO_MATCH
TXN1059,NO_MATCH,SETL2059,0.915,6.14,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1020,NO_MATCH,SETL2020,0.886,13.57,1.0,needs_review,MATCH,0.9,"UTR and merchant match, date and amount differences are within typical settlement variations",llm_confirmed,MATCH
TXN1085,MATCH,,0.0,,,no_confident_match,,,,no_confident_match,NO_MATCH
TXN1094,NO_MATCH,,0.0,,,no_confident_match,,,,no_confident_match,NO_MATCH
TXN1079,NO_MATCH,,0.0,,,no_confident_match,,,,no_confident_match,NO_MATCH
TXN1027,NO_MATCH,,0.0,,,no_confident_match,,,,no_confident_match,NO_MATCH
TXN1086,MATCH,,0.0,,,no_confident_match,,,,no_confident_match,NO_MATCH
TXN1038,NO_MATCH,,0.0,,,no_confident_match,,,,no_confident_match,NO_MATCH
TXN1083,MATCH,SETL2083,0.885,0.0,1.0,auto_confirmed,,,,auto_confirmed,MATCH
TXN1016,NO_MATCH,SETL2016,0.813,21.86,1.0,needs_review,MATCH,0.85,"UTR and merchant match, date and amount differences are within typical settlement variations",llm_confirmed,MATCH
