transaction_id,utr_reference,amount,date,merchant,true_label
TXN1048,UTR500048,4332.8,2026-08-02,Swiggy,MATCH
TXN1049,UTR500049,3668.25,2026-08-26,Swiggy,MATCH
TXN1050,UTR500050,1032.02,2026-08-15,Myntra,MATCH
TXN1051,UTR500051,1464.87,2026-08-08,Swiggy,MATCH
TXN1052,UTR500052,4320.61,2026-08-18,Swiggy,MATCH
TXN1053,UTR500053,4996.48,2026-08-01,Swiggy,MATCH
TXN1054,UTR500054,4258.61,2026-08-06,Ola,MATCH
TXN1055,UTR500055,1147.36,2026-08-13,Zomato,MATCH
TXN1056,UTR500056,110.56,2026-08-13,Nykaa,MATCH
TXN1057,UTR500057,3947.13,2026-08-10,Ola,NO_MATCH
TXN1058,UTR500058,3938.47,2026-08-22,Uber,MATCH
TXN1059,UTR500059,1553.87,2026-08-02,Zomato,NO_MATCH
TXN1060,UTR500060,2962.47,2026-08-17,Myntra,MATCH
TXN1061,UTR500061,2588.36,2026-08-06,Swiggy,MATCH
TXN1062,UTR500062,3408.54,2026-08-08,Ola,MATCH
TXN1063,UTR500063,4462.41,2026-08-08,Zomato,MATCH
TXN1064,UTR500064,2154.2,2026-08-19,Flipkart,NO_MATCH
TXN1065,UTR500065,1100.87,2026-08-23,Flipkart,MATCH
TXN1066,UTR500066,2039.35,2026-08-22,Nykaa,MATCH
TXN1067,UTR500067,4652.19,2026-08-03,Zomato,MATCH
TXN1068,UTR500068,4992.43,2026-08-04,Swiggy,MATCH
TXN1069,UTR500069,2578.84,2026-08-05,Flipkart,MATCH
TXN1070,UTR500070,4408.42,2026-08-12,Nykaa,MATCH
TXN1071,UTR500071,4185.35,2026-08-23,Nykaa,MATCH
TXN1072,UTR500072,4937.44,2026-08-21,Zomato,NO_MATCH
TXN1073,UTR500073,4665.6,2026-08-04,Myntra,MATCH
TXN1074,UTR500074,4459.59,2026-08-24,Myntra,MATCH
TXN1075,UTR500075,3063.67,2026-08-23,Flipkart,MATCH
TXN1076,UTR500076,3207.77,2026-08-09,Uber,MATCH
TXN1077,UTR500077,4549.98,2026-08-02,Swiggy,MATCH
TXN1078,UTR500078,4163.81,2026-08-02,Zomato,MATCH
TXN1079,UTR500079,741.02,2026-08-09,Myntra,NO_MATCH
TXN1080,UTR500080,2195.67,2026-08-01,Swiggy,MATCH
TXN1081,UTR500081,4427.22,2026-08-05,Zomato,MATCH
TXN1082,UTR500082,2807.37,2026-08-14,Myntra,MATCH
TXN1083,UTR500083,1886.79,2026-08-26,Zomato,MATCH
TXN1084,UTR500084,1129.38,2026-08-08,Swiggy,MATCH
TXN1085,UTR500085,2843.43,2026-08-14,Myntra,MATCH
TXN1086,UTR500086,1260.01,2026-08-06,Myntra,MATCH
TXN1087,UTR500087,221.45,2026-08-24,Flipkart,MATCH
TXN1088,UTR500088,4030.95,2026-08-24,BigBasket,MATCH
TXN1089,UTR500089,3958.14,2026-08-04,Ola,MATCH
TXN1090,UTR500090,4307.11,2026-08-08,BigBasket,MATCH
TXN1091,UTR500091,1813.33,2026-08-26,BigBasket,MATCH
TXN1092,UTR500092,3334.16,2026-08-13,Flipkart,MATCH
TXN1093,UTR500093,440.16,2026-08-25,Nykaa,MATCH
TXN1094,UTR500094,2596.09,2026-08-22,Flipkart,NO_MATCH
TXN1095,UTR500095,665.17,2026-08-09,Myntra,MATCH
TXN1096,UTR500096,4919.4,2026-08-02,Swiggy,MATCH
TXN1097,UTR500097,1793.87,2026-08-26,Flipkart,MATCH
TXN1098,UTR500098,4922.76,2026-08-04,Ola,MATCH
TXN1099,UTR500099,1031.39,2026-08-02,Ola,MATCH
